titre,journal,date
"La pédophilie, l'inépuisable obsession antisémite",Charlie Hebdo,2021-01-25
L’astroturfing ou comment exciter les foules,Charlie Hebdo,2021-01-25
Journalisme sous tutelle,Charlie Hebdo,2021-01-25
Plaidoyer pour une police qui nous ressemble,Charlie Hebdo,2021-01-25
"Covid : au Sri Lanka, une potion pas du tout magique",Libération,2021-01-25
Portugal : «Marcelo» réélu haut la main,Libération,2021-01-25
"Inquiétude sur les effets des variants en France, retour contrarié d'étudiants en TD, rapport Oxfam sur les inégalités... L'actu ce lundi matin",Libération,2021-01-25
Fashion Week : gardons de la tenue,Libération,2021-01-25
Les plus riches sortis indemnes voire renforcés de la pandémie,Libération,2021-01-25
Près d’un demi-million de morts à cause d’événements météorologiques extrêmes en vingt ans,Libération,2021-01-25
"En Colombie, les Farc font peau neuve",Libération,2021-01-25
"Lundi poésie : aujourd'hui, «la révolte dans le corps ancrée»",Libération,2021-01-25
"Mort de Jean-Pierre Michel, figure de la gauche et artisan du Pacs",Libération,2021-01-25
«Un million de Français vaccinés»… ou de doses injectées ?,Libération,2021-01-25
"Pour Schiappa, les ministres se sont pas engagés pour souffrir, OK ?",Libération,2021-01-25
Des professeurs positifs au Covid ou cas contact ont-ils été poussés à revenir en classe par leur hiérarchie ?,Libération,2021-01-25
Pour un Beauvau de la confiance,Libération,2021-01-25
Marlène Schiappa et Sarah El Haïry : «Le contrat d’engagement républicain nous protège»,Libération,2021-01-25
Cinquantième anniversaire de la loi de 1970 : «La guerre contre la drogue est un échec»,Libération,2021-01-25
Laïcité : c’est aux élus de donner l’exemple,Libération,2021-01-25
Haute couture : «Il faut continuer de célébrer la beauté comme la vie»,Libération,2021-01-25
Portugal : «André Ventura va devenir un faiseur de rois»,Libération,2021-01-25
Violences faites aux femmes : le 3919 ne sera finalement pas ouvert au marché public,Libération,2021-01-25
Violences anti-couvre-feu aux Pays-Bas : «Les événements d’hier soir ont vraiment dépassé toutes les limites»,Libération,2021-01-25
"A Bercy, avec les «traders» de la dette : six milliards empruntés en six minutes",Libération,2021-01-25
"Mayotte : «Une spirale infernale d’assassinats, sans aucune réaction» de l'Etat",Libération,2021-01-25
